,OBJECTID,IDPOINT,NCN,NCE,Hnorm,Z,DS,DM,geometry,index_right,OBJECTID_1,NG,EG,g,H,B,L,geometry_right
90,33056,33104,384500.0,307300.0,127.04814502569207,1.890470756943391,31955.974014583076,1890.4707569433908,POINT (307300.00000000093 384499.99999999907),139,1268,383827.647907,307934.16299,981184.7821168534,128.53773852083143,51.28868042884068,16.244649978494376,POINT (307934.16299000103 383827.64790700004)
91,33057,33105,384500.0,308300.0,135.8232524523155,1.892652739336987,31957.071892086762,1892.6527393369868,POINT (308300.00000000093 384499.99999999907),139,1268,383827.647907,307934.16299,981184.7821168534,128.53773852083143,51.28868042884068,16.244649978494376,POINT (307934.16299000103 383827.64790700004)
95,33061,33109,384500.0,312300.0,130.5549231639052,1.900944412893072,31958.278877062145,1900.9444128930722,POINT (312300.00000000093 384499.99999999907),3,471,384698.47424,312745.372276,981188.7265986052,153.65815712494077,51.298107687419765,16.3131314801942,POINT (312745.3722760007 384698.4742399994)
96,33062,33110,384500.0,313300.0,142.0,1.902329354693879,31954.103827723808,1902.329354693879,POINT (313300.00000000093 384499.99999999907),3,471,384698.47424,312745.372276,981188.7265986052,153.65815712494077,51.298107687419765,16.3131314801942,POINT (312745.3722760007 384698.4742399994)
98,33064,33112,384500.0,315300.0,104.80885548179867,1.905098312752368,31945.632598750195,1905.0983127523682,POINT (315300.00000000186 384499.99999999907),4,472,385364.647079,314988.068225,981190.3975600472,125.0,51.30482687249972,16.34492849669841,POINT (314988.06822500005 385364.6470789984)
99,33065,33113,384500.0,316300.0,109.48929984968709,1.906482351064891,31941.337218904155,1906.4823510648914,POINT (316300.00000000186 384499.99999999907),104,1038,384222.6030020001,317220.852521,981191.8491113968,108.61741389215604,51.29528699123373,16.377519708573686,POINT (317220.85252100136 384222.60300200246)
99,33065,33113,384500.0,316300.0,109.48929984968709,1.906482351064891,31941.337218904155,1906.4823510648914,POINT (316300.00000000186 384499.99999999907),109,1043,385141.602296,317028.329301,981191.4733167209,108.90113227161783,51.303482597389774,16.374289153410867,POINT (317028.3293010006 385141.60229600035)
100,33066,33114,384500.0,317300.0,110.07267129444729,1.907866110271286,31937.00252875472,1907.8661102712858,POINT (317300.00000000186 384499.99999999907),104,1038,384222.6030020001,317220.852521,981191.8491113968,108.61741389215604,51.29528699123373,16.377519708573686,POINT (317220.85252100136 384222.60300200246)
100,33066,33114,384500.0,317300.0,110.07267129444729,1.907866110271286,31937.00252875472,1907.8661102712858,POINT (317300.00000000186 384499.99999999907),109,1043,385141.602296,317028.329301,981191.4733167209,108.90113227161783,51.303482597389774,16.374289153410867,POINT (317028.3293010006 385141.60229600035)
102,33068,33116,384500.0,319300.0,105.1993713584925,1.910184465247509,31925.60520993349,1910.1844652475093,POINT (319300.00000000186 384499.99999999907),112,1046,384463.535687,319334.55943200004,981192.2236013995,105.85607164518296,51.29812683905771,16.407691259267622,POINT (319334.5594319999 384463.5356870014)
102,33068,33116,384500.0,319300.0,105.1993713584925,1.910184465247509,31925.60520993349,1910.1844652475093,POINT (319300.00000000186 384499.99999999907),113,1047,383984.653263,319179.549762,981192.3520851017,107.04855280655113,51.293774599965325,16.405712220350473,POINT (319179.54976200033 383984.6532630008)
102,33068,33116,384500.0,319300.0,105.1993713584925,1.910184465247509,31925.60520993349,1910.1844652475093,POINT (319300.00000000186 384499.99999999907),124,1148,383616.294163,318998.040635,981192.4660108953,108.63855703666786,51.2904070121297,16.40329775105859,POINT (318998.040635 383616.2941630017)
103,33069,33117,384500.0,320300.0,92.0,1.910769945442198,31916.511994175333,1910.769945442198,POINT (320300.00000000186 384499.99999999907),112,1046,384463.535687,319334.55943200004,981192.2236013995,105.85607164518296,51.29812683905771,16.407691259267622,POINT (319334.5594319999 384463.5356870014)
104,33070,33118,384500.0,321300.0,97.18510932268616,1.911355803613548,31907.387465807748,1911.3558036135478,POINT (321299.99999999907 384499.99999999907),119,1143,383870.424809,322052.514015,981191.1542893935,125.952070215797,51.29365370570941,16.446944233912635,POINT (322052.5140150022 383870.42480899766)
105,33071,33119,384500.0,322300.0,117.02493381841487,1.911942045645886,31898.231971456957,1911.9420456458859,POINT (322299.99999999907 384499.99999999907),119,1143,383870.424809,322052.514015,981191.1542893935,125.952070215797,51.29365370570941,16.446944233912635,POINT (322052.5140150022 383870.42480899766)
105,33071,33119,384500.0,322300.0,117.02493381841487,1.911942045645886,31898.231971456957,1911.9420456458859,POINT (322299.99999999907 384499.99999999907),120,1144,384058.602168,322877.69872,981190.3954336836,134.89489285236385,51.29560205599694,16.458677420465786,POINT (322877.69871999975 384058.6021679994)
106,33072,33120,384500.0,323300.0,132.79240180126544,1.912528677423927,31889.04585778686,1912.5286774239266,POINT (323300 384499.99999999907),120,1144,384058.602168,322877.69872,981190.3954336836,134.89489285236385,51.29560205599694,16.458677420465786,POINT (322877.69871999975 384058.6021679994)
107,33073,33121,384500.0,324300.0,127.0,1.913115704832833,31879.829471499223,1913.1157048328332,POINT (324300 384499.99999999907),129,1155,385076.322749,324300.103708,981190.1251751434,124.13898627526214,51.30518824484641,16.478563258028313,POINT (324300.1037079999 385076.3227490019)
108,33074,33122,384500.0,325300.0,113.96889605135038,1.913703133758185,31870.5831593332,1913.7031337581852,POINT (325300 384499.99999999907),96,1029,385159.714485,325622.134641,981189.1621732716,106.85163595550267,51.30634438378856,16.49747520157858,POINT (325622.13464100193 385159.7144850027)
108,33074,33122,384500.0,325300.0,113.96889605135038,1.913703133758185,31870.5831593332,1913.7031337581852,POINT (325300 384499.99999999907),127,1153,384254.365762,325818.102082,981188.6464832082,118.57243587368066,51.29826880689464,16.500726843438038,POINT (325818.102082002 384254.3657620009)
109,33075,33123,384500.0,326300.0,119.7862316710416,1.913855148774471,31858.898667007248,1913.855148774471,POINT (326300 384499.99999999907),96,1029,385159.714485,325622.134641,981189.1621732716,106.85163595550267,51.30634438378856,16.49747520157858,POINT (325622.13464100193 385159.7144850027)
109,33075,33123,384500.0,326300.0,119.7862316710416,1.913855148774471,31858.898667007248,1913.855148774471,POINT (326300 384499.99999999907),127,1153,384254.365762,325818.102082,981188.6464832082,118.57243587368066,51.29826880689464,16.500726843438038,POINT (325818.102082002 384254.3657620009)
112,33078,33126,384500.0,329300.0,122.20046895658659,1.913374587080056,31819.210696711543,1913.3745870800562,POINT (329300 384499.99999999907),95,1028,384647.59794,329527.670421,981186.2059333188,123.0,51.30292604199906,16.553713526370675,POINT (329527.67042099964 384647.5979400035)
112,33078,33126,384500.0,329300.0,122.20046895658659,1.913374587080056,31819.210696711543,1913.3745870800562,POINT (329300 384499.99999999907),132,1158,385327.930632,329498.803192,981186.5426813075,126.35638314817086,51.30903121312707,16.552974373084684,POINT (329498.80319200084 385327.93063200265)
113,33079,33127,384500.0,330300.0,135.72243068093667,1.913215443945592,31805.994267972612,1913.215443945592,POINT (330300 384499.99999999907),95,1028,384647.59794,329527.670421,981186.2059333188,123.0,51.30292604199906,16.553713526370675,POINT (329527.67042099964 384647.5979400035)
118,33084,33132,384500.0,335300.0,131.98540479073236,1.910677137104539,31731.03152163885,1910.6771371045388,POINT (335300.00000000093 384499.99999999907),12,485,383782.052946,335029.347071,981182.8081340838,158.75664209608004,51.29676930036902,16.63298965525236,POINT (335029.3470710004 383782.0529460013)
118,33084,33132,384500.0,335300.0,131.98540479073236,1.910677137104539,31731.03152163885,1910.6771371045388,POINT (335300.00000000093 384499.99999999907),15,492,384846.71305,335531.50951,981182.4659184073,121.81905047023898,51.30648286182651,16.639697187973717,POINT (335531.5095100021 384846.71305000037)
119,33085,33133,384500.0,336300.0,131.24975011734693,1.909851988399576,31714.42481065357,1909.8519883995757,POINT (336300.00000000093 384499.99999999907),15,492,384846.71305,335531.50951,981182.4659184073,121.81905047023898,51.30648286182651,16.639697187973717,POINT (335531.5095100021 384846.71305000037)
125,33284,33332,385500.0,312300.0,139.39795676484874,1.89542747796263,31912.52511261624,1895.4274779626298,POINT (312300.00000000093 385500),3,471,384698.47424,312745.372276,981188.7265986052,153.65815712494077,51.298107687419765,16.3131314801942,POINT (312745.3722760007 384698.4742399994)
126,33285,33333,385500.0,313300.0,139.0,1.89678570935096,31907.91819871121,1896.78570935096,POINT (313300.00000000093 385500),3,471,384698.47424,312745.372276,981188.7265986052,153.65815712494077,51.298107687419765,16.3131314801942,POINT (312745.3722760007 384698.4742399994)
127,33286,33334,385500.0,314300.0,121.44123562523055,1.898143390952496,31903.280662875866,1898.143390952496,POINT (314300.00000000186 385500),4,472,385364.647079,314988.068225,981190.3975600472,125.0,51.30482687249972,16.34492849669841,POINT (314988.06822500005 385364.6470789984)
127,33286,33334,385500.0,314300.0,121.44123562523055,1.898143390952496,31903.280662875866,1898.143390952496,POINT (314300.00000000186 385500),5,473,385754.249207,315111.6073,981190.3128793421,127.414085726517,51.308367637233175,16.346497328037177,POINT (315111.6073000012 385754.2492070012)
128,33287,33335,385500.0,315300.0,125.89266723472218,1.899500535951596,31898.612818275084,1899.500535951596,POINT (315300.00000000186 385500),4,472,385364.647079,314988.068225,981190.3975600472,125.0,51.30482687249972,16.34492849669841,POINT (314988.06822500005 385364.6470789984)
128,33287,33335,385500.0,315300.0,125.89266723472218,1.899500535951596,31898.612818275084,1899.500535951596,POINT (315300.00000000186 385500),5,473,385754.249207,315111.6073,981190.3128793421,127.414085726517,51.308367637233175,16.346497328037177,POINT (315111.6073000012 385754.2492070012)
128,33287,33335,385500.0,315300.0,125.89266723472218,1.899500535951596,31898.612818275084,1899.500535951596,POINT (315300.00000000186 385500),106,1040,386395.496244,315555.110455,981190.4366189984,120.32948686031715,51.31427328836618,16.352523358880163,POINT (315555.1104550008 386395.49624400213)
129,33288,33336,385500.0,316300.0,109.8067987717259,1.90085715753398,31893.91497810982,1900.85715753398,POINT (316300.00000000186 385500),109,1043,385141.602296,317028.329301,981191.4733167209,108.90113227161783,51.303482597389774,16.374289153410867,POINT (317028.3293010006 385141.60229600035)
130,33289,33337,385500.0,317300.0,112.8219730133531,1.902213268886678,31889.187455616608,1902.2132688866782,POINT (317300.00000000186 385500),109,1043,385141.602296,317028.329301,981191.4733167209,108.90113227161783,51.303482597389774,16.374289153410867,POINT (317028.3293010006 385141.60229600035)
134,33293,33341,385500.0,321300.0,91.0,1.90564498039819,31858.501519368845,1905.6449803981895,POINT (321299.99999999907 385500),117,1141,386189.951072,321760.680966,981191.0425829068,92.08525876043859,51.31440508937169,16.441602407009,POINT (321760.6809660001 386189.9510720037)
135,33294,33342,385500.0,322300.0,125.85121319318569,1.906213234504526,31849.096036380917,1906.213234504526,POINT (322299.99999999907 385500),117,1141,386189.951072,321760.680966,981191.0425829068,92.08525876043859,51.31440508937169,16.441602407009,POINT (321760.6809660001 386189.9510720037)
137,33296,33344,385500.0,324300.0,120.79034509118718,1.907350704273196,31830.22177786639,1907.350704273196,POINT (324300 385500),128,1154,386192.197718,324729.941514,981189.5090048098,100.41130616347675,51.31534813652941,16.484176765065964,POINT (324729.9415140003 386192.19771800004)
137,33296,33344,385500.0,324300.0,120.79034509118718,1.907350704273196,31830.22177786639,1907.350704273196,POINT (324300 385500),129,1155,385076.322749,324300.103708,981190.1251751434,124.13898627526214,51.30518824484641,16.478563258028313,POINT (324300.1037079999 385076.3227490019)
138,33297,33345,385500.0,325300.0,106.87653550614777,1.907919933540885,31820.753516624576,1907.9199335408846,POINT (325300 385500),96,1029,385159.714485,325622.134641,981189.1621732716,106.85163595550267,51.30634438378856,16.49747520157858,POINT (325622.13464100193 385159.7144850027)
138,33297,33345,385500.0,325300.0,106.87653550614777,1.907919933540885,31820.753516624576,1907.9199335408846,POINT (325300 385500),128,1154,386192.197718,324729.941514,981189.5090048098,100.41130616347675,51.31534813652941,16.484176765065964,POINT (324729.9415140003 386192.19771800004)
139,33298,33346,385500.0,326300.0,103.0,1.908084976528257,31809.051659476896,1908.0849765282571,POINT (326300 385500),96,1029,385159.714485,325622.134641,981189.1621732716,106.85163595550267,51.30634438378856,16.49747520157858,POINT (325622.13464100193 385159.7144850027)
139,33298,33346,385500.0,326300.0,103.0,1.908084976528257,31809.051659476896,1908.0849765282571,POINT (326300 385500),121,1145,385732.80994,326356.47552199994,981188.8507334571,102.15257052869708,51.3117189651748,16.507723990071945,POINT (326356.4755220013 385732.80994000286)
140,33299,33347,385500.0,327300.0,104.5020901744371,1.907921759976801,31795.53399189276,1907.921759976801,POINT (327300 385500),121,1145,385732.80994,326356.47552199994,981188.8507334571,102.15257052869708,51.3117189651748,16.507723990071945,POINT (326356.4755220013 385732.80994000286)
142,33301,33349,385500.0,329300.0,121.78006154083414,1.907598547966661,31768.45931370203,1907.598547966661,POINT (329300 385500),95,1028,384647.59794,329527.670421,981186.2059333188,123.0,51.30292604199906,16.553713526370675,POINT (329527.67042099964 384647.5979400035)
142,33301,33349,385500.0,329300.0,121.78006154083414,1.907598547966661,31768.45931370203,1907.598547966661,POINT (329300 385500),132,1158,385327.930632,329498.803192,981186.5426813075,126.35638314817086,51.30903121312707,16.552974373084684,POINT (329498.80319200084 385327.93063200265)
143,33302,33350,385500.0,330300.0,113.48735297194877,1.907438553523873,31754.902700651226,1907.4385535238735,POINT (330300 385500),132,1158,385327.930632,329498.803192,981186.5426813075,126.35638314817086,51.30903121312707,16.552974373084684,POINT (329498.80319200084 385327.93063200265)
